gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
AKR1C1,5.63E-75,1.154385672,0.99,0.737,1.04E-70,0,AKR1C1
RPL37,9.03E-73,0.810476516,0.992,0.991,1.66E-68,0,RPL37
RPS27A,3.59E-70,0.809496568,0.992,0.983,6.62E-66,0,RPS27A
MIR205HG,6.46E-67,0.923464405,0.885,0.481,1.19E-62,0,MIR205HG
GSTM3,2.94E-66,0.997509921,0.969,0.641,5.42E-62,0,GSTM3
LDHB,1.28E-65,0.82281012,0.967,0.688,2.35E-61,0,LDHB
FXYD3,7.34E-65,0.945672897,0.957,0.611,1.35E-60,0,FXYD3
AKR1C3,1.18E-64,0.859113023,0.959,0.523,2.17E-60,0,AKR1C3
RPLP1,1.94E-64,0.720182226,0.995,0.998,3.57E-60,0,RPLP1
RPL31,8.28E-64,0.731237976,0.995,0.991,1.53E-59,0,RPL31
IGFL2-AS1,3.95E-63,0.986587149,0.901,0.492,7.28E-59,0,IGFL2-AS1
ATP5MC3,1.46E-59,0.734752633,0.982,0.773,2.68E-55,0,ATP5MC3
RPL6,1.54E-59,0.664241294,0.995,0.971,2.84E-55,0,RPL6
RPS4X,5.93E-59,0.737365829,0.985,0.866,1.09E-54,0,RPS4X
CBR1,7.07E-59,0.89229615,0.872,0.542,1.30E-54,0,CBR1
RPL35A,3.96E-57,0.742485184,0.992,0.957,7.30E-53,0,RPL35A
RPLP0,5.15E-57,0.696532574,0.99,0.912,9.48E-53,0,RPLP0
GSTP1,1.27E-56,0.811432206,0.985,0.916,2.34E-52,0,GSTP1
AKR1C2,2.76E-56,0.862406721,0.952,0.6,5.08E-52,0,AKR1C2
GPX2,4.26E-54,0.734975786,0.923,0.515,7.85E-50,0,GPX2
B2M,4.84E-52,-2.401158514,0.857,0.919,8.91E-48,0,B2M
RPS27,1.09E-51,0.618493115,1,0.999,2.02E-47,0,RPS27
RPS18,1.32E-51,0.712507867,0.98,0.881,2.43E-47,0,RPS18
RPL38,1.84E-51,0.614441261,0.98,0.823,3.40E-47,0,RPL38
RPS3,3.03E-51,0.64831106,0.995,0.962,5.58E-47,0,RPS3
ATP5ME,8.88E-50,0.677741402,0.974,0.85,1.64E-45,0,ATP5ME
TMSB4X,8.35E-48,-1.80767613,0.423,0.704,1.54E-43,0,TMSB4X
EHBP1,4.94E-47,0.666308249,0.819,0.444,9.11E-43,0,EHBP1
RPS16,1.41E-46,0.600169883,0.995,0.994,2.60E-42,0,RPS16
RPL39,1.75E-46,0.583694697,0.99,0.902,3.23E-42,0,RPL39
ETFB,7.37E-45,0.681402577,0.926,0.603,1.36E-40,0,ETFB
PERP,1.13E-44,0.623235534,0.974,0.689,2.09E-40,0,PERP
TXN,1.75E-44,0.648977904,0.974,0.783,3.23E-40,0,TXN
NIPSNAP2,9.99E-44,0.654410745,0.974,0.727,1.84E-39,0,NIPSNAP2
NSD3,1.04E-43,0.682829237,0.952,0.706,1.92E-39,0,NSD3
RPL5,2.17E-43,0.564171554,0.995,0.938,3.99E-39,0,RPL5
HLA-B,2.77E-43,-1.65893786,0.383,0.648,5.10E-39,0,HLA-B
RPS19,4.05E-43,0.531607889,0.995,0.988,7.46E-39,0,RPS19
RPL27A,4.44E-42,0.51930912,0.99,0.981,8.18E-38,0,RPL27A
C1QBP,9.55E-42,0.595996207,0.872,0.543,1.76E-37,0,C1QBP
CCT4,1.15E-41,0.593178038,0.923,0.624,2.13E-37,0,CCT4
RPL35,3.33E-41,0.537373741,0.992,0.945,6.13E-37,0,RPL35
CCT6A,4.04E-41,0.657651978,0.99,0.839,7.45E-37,0,CCT6A
VIM,4.25E-41,-1.777845023,0.082,0.424,7.83E-37,0,VIM
RPS7,5.12E-41,0.57343775,0.962,0.826,9.44E-37,0,RPS7
TKT,7.46E-41,0.630307017,0.895,0.581,1.37E-36,0,TKT
RPL19,1.07E-40,0.510669535,0.987,0.928,1.97E-36,0,RPL19
RPL23,1.51E-40,0.562989253,0.987,0.96,2.78E-36,0,RPL23
DST,4.06E-40,0.793151387,0.778,0.464,7.48E-36,0,DST
HLA-E,4.79E-40,-1.083838003,0.344,0.627,8.82E-36,0,HLA-E
HLA-C,5.54E-40,-1.205368021,0.314,0.605,1.02E-35,0,HLA-C
RPL12,9.72E-40,0.557909663,0.987,0.937,1.79E-35,0,RPL12
RPL7,3.56E-39,0.575728974,0.972,0.831,6.55E-35,0,RPL7
NTS,4.77E-39,0.755249277,0.916,0.631,8.79E-35,0,NTS
BTF3,5.25E-39,0.548699164,0.944,0.794,9.67E-35,0,BTF3
SNRPD2,1.51E-38,0.532164814,0.967,0.809,2.77E-34,0,SNRPD2
MALAT1,1.51E-38,-0.913190333,0.997,0.997,2.79E-34,0,MALAT1
SEC61G,2.90E-38,0.611497439,0.982,0.81,5.33E-34,0,SEC61G
RPL32,5.95E-38,0.50775102,0.987,0.911,1.10E-33,0,RPL32
SLC7A8,6.21E-38,0.553621623,0.689,0.366,1.14E-33,0,SLC7A8
BEX2,6.89E-38,0.530613311,0.62,0.306,1.27E-33,0,BEX2
PTGR1,2.24E-37,0.667125397,0.849,0.516,4.12E-33,0,PTGR1
RPS5,2.77E-37,0.545197998,0.977,0.91,5.10E-33,0,RPS5
COX5B,3.28E-37,0.537724445,0.969,0.841,6.04E-33,0,COX5B
MRPL52,3.56E-37,0.557796345,0.911,0.634,6.56E-33,0,MRPL52
KRT8,4.55E-37,0.598820872,0.788,0.463,8.39E-33,0,KRT8
COX7B,5.67E-37,0.54794775,0.954,0.764,1.04E-32,0,COX7B
RPL18,9.60E-37,0.491544323,0.99,0.963,1.77E-32,0,RPL18
MDH1,9.92E-37,0.523531087,0.86,0.547,1.83E-32,0,MDH1
CTSS,1.56E-36,-1.859589334,0.074,0.389,2.88E-32,0,CTSS
EPCAM,2.34E-36,0.545526308,0.696,0.38,4.31E-32,0,EPCAM
RPS3A,3.16E-36,0.534817216,0.982,0.935,5.82E-32,0,RPS3A
UCHL1,5.00E-36,0.524618398,0.676,0.349,9.21E-32,0,UCHL1
